Status,Group ID,Block,Lot,No,Dir,Street,Suff,Group Address,Property Count,Funding ID,Core Phase,Decision,Start,Date Demo Finish,Neighborhood,Projected Release to contractor,Deconstruction,neighborhood_2,status_2
Final/Full Demo Complete,390,20,85,1534,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,88,1528,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,80,1544,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,83,1538,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,86,1532,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,89,1526,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,81,1542,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,82,1540,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,84,1536,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,87,1530,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,90,1524,,McKean,Ave,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,390,20,91,1522,,MCKEAN,AVE,1522-1544  MCKEAN AVE,12,PLN-380,2,Full Demolition,2/15/18,7/9/18,SANDTOWN-WINCHESTER,FY18Q3,Y,SANDTOWN-WINCHESTER,Completed
Final/Full Demo Complete,406,7447,8,2320,,Annapolis,Rd,2320-2324  ANNAPOLIS ROAD,3,PLN-390,NA,Full Demolition,4/19/18,12/13/18,WESTPORT,FY18Q2,N,WESTPORT,Completed
Final/Full Demo Complete,406,7447,10,2324,,Annapolis,Rd,2320-2324  ANNAPOLIS ROAD,3,PLN-390,NA,Full Demolition,4/19/18,12/13/18,WESTPORT,FY18Q2,N,WESTPORT,Completed
Final/Full Demo Complete,406,7447,9,2322,,Annapolis,Rd,2320-2324  ANNAPOLIS ROAD,3,PLN-390,NA,Full Demolition,4/19/18,12/13/18,WESTPORT,FY18Q2,N,WESTPORT,Completed
Prep For Release,812,1500,30,2110,,Llewelyn,Ave,2110-2116  Llewelyn AVE,4,PLN-380,NA,Full Demolition,,,BROADWAY EAST,FY19Q4,N,BROADWAY EAST,Raze in FY19
Prep For Release,812,1500,030C,2116,,Llewelyn,Ave,2110-2116  Llewelyn AVE,4,PLN-380,NA,Full Demolition,,,BROADWAY EAST,FY19Q4,N,BROADWAY EAST,Raze in FY19
Prep For Release,812,1500,030B,2114,,Llewelyn,Ave,2110-2116  Llewelyn AVE,4,PLN-380,NA,Full Demolition,,,BROADWAY EAST,FY19Q4,N,BROADWAY EAST,Raze in FY19
Prep For Release,812,1500,030A,2112,,Llewelyn,Ave,2110-2116  Llewelyn AVE,4,PLN-380,NA,Full Demolition,,,BROADWAY EAST,FY19Q4,N,BROADWAY EAST,Raze in FY19
Start Demo - Full,929,3190A,13,4412,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Start Demo - Full,929,3190A,10,4406,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Start Demo - Full,929,3190A,12,4410,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Start Demo - Full,929,3190A,8,4402,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Start Demo - Full,929,3190A,9,4404,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Start Demo - Full,929,3190A,11,4408,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Start Demo - Full,929,3190A,14,4414,,DAYTONA,AVE,4402 - 4414  DAYTONA AVE,7,ProjectCore(19),1,Full Demolition,1/29/19,,TOWANDA-GRANTLEY,FY19Q2,Y,TOWANDA-GRANTLEY,Started but not complete
Final/Full Demo Complete,1352,8243,26,3714,,WOODBINE,AVE,3714  WOODBINE AVE,1,PIM-138,NA,Full Demolition,8/6/18,10/16/18,HOWARD PARK,FY18Q3,N,HOWARD PARK,Completed
Final/Full Demo Complete,1413,2447,47,3032,,MOSHER,ST,3030-3032  MOSHER ST,2,PLN-390,NA,Full Demolition,10/9/18,12/13/18,FRANKLINTOWN ROAD,FY19Q2,N,FRANKLINTOWN ROAD,Completed
Final/Full Demo Complete,1413,2447,46,3030,,MOSHER,ST,3030-3032  MOSHER ST,2,PLN-390,NA,Full Demolition,10/9/18,12/13/18,FRANKLINTOWN ROAD,FY19Q2,N,FRANKLINTOWN ROAD,Completed
Prep For Release,1452,2176,5,106,S,CATHERINE,ST,106 S CATHERINE ST,1,PLN-262,NA,Full Demolition,,,SHIPLEY HILL,FY19Q3,N,SHIPLEY HILL,Raze in FY19
Utility cut off,1453,2176,106,2504,,EMERSON,ST,2504  EMERSON ST,1,UNDECIDED,NA,Full Demolition,,,SHIPLEY HILL,FY20Q1,N,SHIPLEY HILL,FY20
Sent to MSA,1454,2176,87,2503,,EMERSON,ST,2503 - 2507  EMERSON ST,3,PROJECTCORE(16),1,Full Demolition,,,SHIPLEY HILL,FY18Q4,N,SHIPLEY HILL,Raze in FY19
Sent to MSA,1454,2176,88,2505,,EMERSON,ST,2503 - 2507  EMERSON ST,3,PROJECTCORE(16),1,Full Demolition,,,SHIPLEY HILL,FY18Q4,N,SHIPLEY HILL,Raze in FY19
Sent to MSA,1454,2176,89,2507,,EMERSON,ST,2503 - 2507  EMERSON ST,3,PROJECTCORE(16),1,Full Demolition,,,SHIPLEY HILL,FY18Q4,N,SHIPLEY HILL,Raze in FY19
DEMO Prep,1455,2176,101,2531,,EMERSON,ST,2531 - 2533  EMERSON ST,2,ProjectCore(19),1,Full Demolition,,,SHIPLEY HILL,FY20Q1,N,SHIPLEY HILL,FY20
DEMO Prep,1455,2176,102,2533,,EMERSON,ST,2531 - 2533  EMERSON ST,2,ProjectCore(19),1,Full Demolition,,,SHIPLEY HILL,FY20Q1,N,SHIPLEY HILL,FY20
Utility cut off,1457,1553,74,2207,,HENNEMAN,AVE,2203 - 2213  HENNEMAN AVE,6,PROJECTCORE(16),1,Full Demolition,,,MIDDLE EAST,FY19Q4,N,MIDDLE EAST,FY20
