block,buildingaddress,councildistrict,location,lot,neighborhood,noticedate,policedistrict,referenceid
0001,2041 W NORTH AVE,7,"(39.30941765, -76.65104057)",003,EASTERWOOD,2012-01-25T05:00:00Z,WESTERN,0001 003 012512
0001,2035 W NORTH AVE,7,"(39.30942276, -76.65089166)",006,EASTERWOOD,2014-12-02T05:00:00Z,WESTERN,0001 006 120214
0001,2033 W NORTH AVE,7,"(39.30942443, -76.65084103)",007,EASTERWOOD,2013-02-01T05:00:00Z,WESTERN,0001 007 020113
0001,2031 W NORTH AVE,7,"(39.30942603, -76.65079304)",008,EASTERWOOD,2015-07-01T04:00:00Z,WESTERN,0001 008 070115
0001,2017 W NORTH AVE,7,"(39.30943944, -76.65044524)",015,EASTERWOOD,2016-01-28T05:00:00Z,WESTERN,0001 015 012816
0001,1810 N PAYSON ST,7,"(39.30902061, -76.65010741)",026,EASTERWOOD,2010-12-14T05:00:00Z,WESTERN,0001 026 121410
0001,1806 N PAYSON ST,7,"(39.30894358, -76.65010312)",028,EASTERWOOD,2008-02-08T05:00:00Z,WESTERN,0001 028 020808
0001,1800 N PAYSON ST,7,"(39.30882778, -76.65009692)",031,EASTERWOOD,2011-01-18T05:00:00Z,WESTERN,0001 031 011811
0001,2008 WESTWOOD AVE,7,"(39.30890951, -76.65050027)",033C,EASTERWOOD,2014-07-16T04:00:00Z,WESTERN,0001 033C 071614
0001,2010 WESTWOOD AVE,7,"(39.3089078, -76.65054943)",033D,EASTERWOOD,2010-09-01T04:00:00Z,WESTERN,0001 033D 090110
0001,1807 N PULASKI ST,7,"(39.30891011, -76.6510026)",037,EASTERWOOD,2014-09-25T04:00:00Z,WESTERN,0001 037 092514
0001,1811 N PULASKI ST,7,"(39.30898686, -76.65100691)",039,EASTERWOOD,2007-09-04T04:00:00Z,WESTERN,0001 039 090407
0001,1813 N PULASKI ST,7,"(39.30902509, -76.65100906)",040,EASTERWOOD,2011-07-28T04:00:00Z,WESTERN,0001 040 072811
0001,1819 N PULASKI ST,7,"(39.3091383, -76.65101541)",043,EASTERWOOD,2006-04-18T04:00:00Z,WESTERN,0001 043 041806
0001,1825 N PULASKI ST,7,"(39.3092531, -76.6510226)",046,EASTERWOOD,2007-12-19T05:00:00Z,WESTERN,0001 046 121907
0002,1802 N MONROE ST,7,"(39.30892564, -76.64837658)",002,EASTERWOOD,2011-05-10T04:00:00Z,WESTERN,0002 002 051011
0002,1818 N MONROE ST,7,"(39.30921984, -76.64839357)",010,EASTERWOOD,2007-09-28T04:00:00Z,WESTERN,0002 010 092807
0002,1824 N MONROE ST,7,"(39.30933035, -76.6483999)",013,EASTERWOOD,2013-02-22T05:00:00Z,WESTERN,0002 013 022213
0002,1901 W NORTH AVE,7,"(39.30953616, -76.6482863)",015,EASTERWOOD,2008-02-14T05:00:00Z,WESTERN,0002 015 021408
0002,1907 W NORTH AVE,7,"(39.30952858, -76.64843751)",018,EASTERWOOD,2009-05-13T04:00:00Z,WESTERN,0002 018 051309
0002,1917 W NORTH AVE,7,"(39.30951592, -76.64868639)",023,EASTERWOOD,2010-12-14T05:00:00Z,WESTERN,0002 023 121410
0002,1923 W NORTH AVE,7,"(39.30950836, -76.6488286)",026,EASTERWOOD,2015-11-18T05:00:00Z,WESTERN,0002 026 111815
0002,1937 W NORTH AVE,7,"(39.30948269, -76.64933806)",032,EASTERWOOD,2005-02-08T05:00:00Z,WESTERN,0002 032 020805
0002,1943 W NORTH AVE,7,"(39.3094751, -76.64948699)",035,EASTERWOOD,2009-05-01T04:00:00Z,WESTERN,0002 035 050109
0002,1945 W NORTH AVE,7,"(39.30947261, -76.64953589)",036,EASTERWOOD,2014-02-28T05:00:00Z,WESTERN,0002 036 022814
0002,1947 W NORTH AVE,7,"(39.30947009, -76.64958516)",037,EASTERWOOD,2015-01-14T05:00:00Z,WESTERN,0002 037 011415
0002,1949 W NORTH AVE,7,"(39.30946762, -76.64963362)",038,EASTERWOOD,2014-08-08T04:00:00Z,WESTERN,0002 038 080814
0002,1825 N PAYSON ST,7,"(39.30930496, -76.64960009)",041,EASTERWOOD,2011-06-16T04:00:00Z,WESTERN,0002 041 061611
0002,1821 N PAYSON ST,7,"(39.30922834, -76.64959474)",043,EASTERWOOD,2006-06-12T04:00:00Z,WESTERN,0002 043 061206
0002,1819 N PAYSON ST,7,"(39.30918986, -76.64959636)",044,EASTERWOOD,2014-04-04T04:00:00Z,WESTERN,0002 044 040414
