address,status,neighborhood,projected_release_to_contractor,long,lat,group_address,property_count_in_range
3604 W ROGERS AVE,on hold,ARLINGTON,NA,-76.68461269821836,39.35145133430247,3604 W ROGERS AVE,1
5202 BEAUFORT AVE,FY20,ARLINGTON,FY19Q1,-76.68030549131255,39.34700028183576,5202  BEAUFORT AVE,1
5204 BEAUFORT AVE,FY20,ARLINGTON,FY19Q1,-76.68046579373677,39.34703173276662,5204  BEAUFORT AVE,1
5205 BEAUFORT AVE,Raze in FY19,ARLINGTON,FY18Q2,-76.68008985875717,39.34728833107426,5205  BEAUFORT AVE,1
5205 CUTHBERT AVE,FY20,ARLINGTON,FY20Q1,-76.68080032936159,39.346845965267136,5205  CUTHBERT AVE,1
5207 BEAUFORT AVE,FY20,ARLINGTON,FY19Q1,-76.68023754555003,39.34731965714006,5207  BEAUFORT AVE,1
5301 DENMORE AVE,FY20,ARLINGTON,FY19Q1,-76.68025397445686,39.34954766135986,5301 - 5303  DENMORE AVE,2
5303 DENMORE AVE,FY20,ARLINGTON,FY19Q1,-76.68033727699425,39.34957065356106,5301 - 5303  DENMORE AVE,2
5313 BEAUFORT AVE,FY20,ARLINGTON,FY19Q4,-76.68234078653343,39.34926223195784,5313-5315   BEAUFORT AVE,2
5314 DENMORE AVE,Raze in FY19,ARLINGTON,FY19Q3,-76.6814022155816,39.349456600353086,5314-5316   DENMORE AVE,2
5315 BEAUFORT AVE,FY20,ARLINGTON,FY19Q4,-76.68243110959041,39.34934644682951,5313-5315   BEAUFORT AVE,2
5316 DENMORE AVE,Raze in FY19,ARLINGTON,FY19Q3,-76.68154298479085,39.34949545257512,5314-5316   DENMORE AVE,2
2112 GREENMOUNT AVE,on hold,BARCLAY,NA,-76.6097493309679,39.31386177915674,2112   GREENMOUNT,1
2452 GREENMOUNT AVE,Raze in FY19,BARCLAY,FY19Q1,-76.60975769868658,39.31734022279163,2452 - 2462  GREENMOUNT AVE,6
2453 BRENTWOOD AVE,Raze in FY19,BARCLAY,FY19Q4,-76.61013030105924,39.31733379461272,2453   BRENTWOOD AVE,1
2454 GREENMOUNT AVE,Raze in FY19,BARCLAY,FY19Q1,-76.6097576258658,39.31737772119809,2452 - 2462  GREENMOUNT AVE,6
2456 GREENMOUNT AVE,Raze in FY19,BARCLAY,FY19Q1,-76.60975662675345,39.31741657253941,2452 - 2462  GREENMOUNT AVE,6
2458 GREENMOUNT AVE,Raze in FY19,BARCLAY,FY19Q1,-76.60975752656337,39.31745622884631,2452 - 2462  GREENMOUNT AVE,6
2460 GREENMOUNT AVE,Raze in FY19,BARCLAY,FY19Q1,-76.60975747538835,39.31749557036007,2452 - 2462  GREENMOUNT AVE,6
2462 GREENMOUNT AVE,Raze in FY19,BARCLAY,FY19Q1,-76.60975741832866,39.317532621502245,2452 - 2462  GREENMOUNT AVE,6
1417 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58251362193221,39.30754857773657,1417-29 N MILTON AVE,7
1419 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58260207162806,39.307585183818084,1417-29 N MILTON AVE,7
1421 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58260434234725,39.307622041570475,1417-29 N MILTON AVE,7
1423 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58260652607429,39.30765812656151,1417-29 N MILTON AVE,7
1425 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58260876772664,39.30769485591239,1417-29 N MILTON AVE,7
1427 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58261104609976,39.30773190152009,1417-29 N MILTON AVE,7
1429 N MILTON AVE,FY20,BEREA,FY19Q4,-76.58261325770647,39.30776818081847,1417-29 N MILTON AVE,7
1949 BELAIR ROAD,FY20,BEREA,FY19Q1,-76.5824589804715,39.31372581191334,1949  BELAIR ROAD,1
2402 VONDERHORST LANE,FY20,BEREA,FY20Q1,-76.58274785660726,39.313256355035264,2402 - 2406  VONDERHORST LANE,3
2404 VONDERHORST LANE,FY20,BEREA,FY20Q1,-76.58270268971295,39.31324508838795,2402 - 2406  VONDERHORST LANE,3
2406 VONDERHORST LANE,FY20,BEREA,FY20Q1,-76.58264793433597,39.31322843304092,2402 - 2406  VONDERHORST LANE,3
2514 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58209983560103,39.304956211727315,2514 - 2532 E BIDDLE ST,10
2516 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58205582926192,39.30495941612736,2514 - 2532 E BIDDLE ST,10
2518 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58200853000024,39.30496138196945,2514 - 2532 E BIDDLE ST,10
2520 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58196201430212,39.30496329595107,2514 - 2532 E BIDDLE ST,10
2522 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.5819167412046,39.30496523553876,2514 - 2532 E BIDDLE ST,10
2524 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.5818714141398,39.304967094569584,2514 - 2532 E BIDDLE ST,10
2526 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58182592393645,39.30496918396017,2514 - 2532 E BIDDLE ST,10
2528 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58177920316271,39.304970859317734,2514 - 2532 E BIDDLE ST,10
2530 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58173340114806,39.304972923414915,2514 - 2532 E BIDDLE ST,10
2532 E BIDDLE ST,FY20,BEREA,FY20Q2,-76.58168642045693,39.304975184279186,2514 - 2532 E BIDDLE ST,10
1142 MONTPELIER ST,on hold,BETTER WAVERLY,NA,-76.60208179621155,39.324159294374226,1142  MONTPELIER ST,1
3008 LOCH RAVEN ROAD,FY20,BETTER WAVERLY,FY19Q4,-76.60200324164744,39.32348127305914,3008 - 3012  LOCH RAVEN ROAD,3
